                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Illinois Avenue       |     37 | 3.70% |    293 | 2.93% |   3079 | 3.08% |  30260 | 3.03% 
B. & O. Railroad      |     22 | 2.20% |    286 | 2.86% |   2854 | 2.85% |  28372 | 2.84% 
Atlantic Avenue       |     25 | 2.50% |    256 | 2.56% |   2428 | 2.43% |  24952 | 2.50% 
Ventnor Avenue        |     21 | 2.10% |    259 | 2.59% |   2490 | 2.49% |  24615 | 2.46% 
Water Works           |     30 | 3.00% |    262 | 2.62% |   2665 | 2.67% |  26144 | 2.61% 
Marvin Gardens        |     26 | 2.60% |    237 | 2.37% |   2430 | 2.43% |  24124 | 2.41% 
Go To Jail            |     23 | 2.30% |    256 | 2.56% |   2430 | 2.43% |  24811 | 2.48% 
Pacific Avenue        |     28 | 2.80% |    242 | 2.42% |   2424 | 2.42% |  24757 | 2.48% 
North Carolina Avenue |     16 | 1.60% |    235 | 2.35% |   2539 | 2.54% |  25007 | 2.50% 
Community Chest       |     22 | 2.20% |    270 | 2.70% |   2614 | 2.61% |  26690 | 2.67% 
Pennsylvania Avenue   |     23 | 2.30% |    260 | 2.60% |   2482 | 2.48% |  24950 | 2.50% 
Short Line            |     34 | 3.40% |    258 | 2.58% |   2546 | 2.55% |  24686 | 2.47% 
Chance                |     26 | 2.60% |    239 | 2.39% |   2484 | 2.48% |  25031 | 2.50% 
Park Place            |     22 | 2.20% |    237 | 2.37% |   2437 | 2.44% |  24550 | 2.46% 
Luxury Tax            |     22 | 2.20% |    246 | 2.46% |   2523 | 2.52% |  24397 | 2.44% 
Boardwalk             |     34 | 3.40% |    302 | 3.02% |   2892 | 2.89% |  29594 | 2.96% 


                             Strategy B Simulation #4 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     36 | 3.60% |    349 | 3.49% |   3396 | 3.40% |  34309 | 3.43% 
Mediterranean Avenue  |     20 | 2.00% |    218 | 2.18% |   2454 | 2.45% |  23939 | 2.39% 
Community Chest       |     28 | 2.80% |    226 | 2.26% |   2375 | 2.38% |  23668 | 2.37% 
Baltic Avenue         |     20 | 2.00% |    257 | 2.57% |   2427 | 2.43% |  24059 | 2.41% 
Income Tax            |     23 | 2.30% |    243 | 2.43% |   2588 | 2.59% |  26403 | 2.64% 
Reading Railroad      |     35 | 3.50% |    358 | 3.58% |   3346 | 3.35% |  33653 | 3.37% 
Oriental Avenue       |     30 | 3.00% |    257 | 2.57% |   2522 | 2.52% |  25621 | 2.56% 
Chance                |     23 | 2.30% |    272 | 2.72% |   2727 | 2.73% |  26249 | 2.62% 
Vermont Avenue        |     23 | 2.30% |    264 | 2.64% |   2612 | 2.61% |  26081 | 2.61% 
Connecticut Avenue    |     35 | 3.50% |    256 | 2.56% |   2576 | 2.58% |  25955 | 2.60% 
Jail                  |     59 | 5.90% |    601 | 6.01% |   5989 | 5.99% |  60452 | 6.05% 
St. Charles Place     |     30 | 3.00% |    320 | 3.20% |   3059 | 3.06% |  30353 | 3.04% 
Electric Company      |     24 | 2.40% |    277 | 2.77% |   2893 | 2.89% |  28150 | 2.82% 
States Avenue         |     23 | 2.30% |    280 | 2.80% |   2477 | 2.48% |  24838 | 2.48% 
Virginia Avenue       |     23 | 2.30% |    245 | 2.45% |   2451 | 2.45% |  24810 | 2.48% 
Pennsylvania Railroad |     30 | 3.00% |    287 | 2.87% |   2832 | 2.83% |  28704 | 2.87% 
St. James Place       |     20 | 2.00% |    256 | 2.56% |   2565 | 2.57% |  25427 | 2.54% 
Community Chest       |     33 | 3.30% |    244 | 2.44% |   2517 | 2.52% |  25454 | 2.55% 
Tennessee Avenue      |     28 | 2.80% |    243 | 2.43% |   2606 | 2.61% |  25558 | 2.56% 
New York Avenue       |     37 | 3.70% |    264 | 2.64% |   2709 | 2.71% |  27480 | 2.75% 
Free Parking          |     22 | 2.20% |    268 | 2.68% |   2624 | 2.62% |  25556 | 2.56% 
Kentucky Avenue       |     14 | 1.40% |    273 | 2.73% |   2535 | 2.54% |  25626 | 2.56% 
Chance                |     23 | 2.30% |    245 | 2.45% |   2551 | 2.55% |  25404 | 2.54% 
Indiana Avenue        |     30 | 3.00% |    248 | 2.48% |   2579 | 2.58% |  25254 | 2.53% 
Illinois Avenue       |     24 | 2.40% |    298 | 2.98% |   3106 | 3.11% |  30291 | 3.03% 
B. & O. Railroad      |     32 | 3.20% |    291 | 2.91% |   2774 | 2.77% |  28127 | 2.81% 
Atlantic Avenue       |     24 | 2.40% |    247 | 2.47% |   2421 | 2.42% |  24786 | 2.48% 
Ventnor Avenue        |     30 | 3.00% |    225 | 2.25% |   2471 | 2.47% |  24948 | 2.49% 
Water Works           |     20 | 2.00% |    263 | 2.63% |   2623 | 2.62% |  26287 | 2.63% 
Marvin Gardens        |     26 | 2.60% |    235 | 2.35% |   2367 | 2.37% |  24327 | 2.43% 
Go To Jail            |     20 | 2.00% |    270 | 2.70% |   2473 | 2.47% |  24595 | 2.46% 
Pacific Avenue        |     25 | 2.50% |    251 | 2.51% |   2468 | 2.47% |  24769 | 2.48% 
North Carolina Avenue |     33 | 3.30% |    251 | 2.51% |   2498 | 2.50% |  24725 | 2.47% 
Community Chest       |     24 | 2.40% |    277 | 2.77% |   2646 | 2.65% |  26464 | 2.65% 
Pennsylvania Avenue   |     26 | 2.60% |    224 | 2.24% |   2576 | 2.58% |  24846 | 2.48% 
Short Line            |     21 | 2.10% |    237 | 2.37% |   2438 | 2.44% |  25035 | 2.50% 
Chance                |     18 | 1.80% |    252 | 2.52% |   2408 | 2.41% |  24941 | 2.49% 
Park Place            |     28 | 2.80% |    247 | 2.47% |   2433 | 2.43% |  25069 | 2.51% 
Luxury Tax            |     25 | 2.50% |    233 | 2.33% |   2471 | 2.47% |  24038 | 2.40% 
Boardwalk             |     29 | 2.90% |    328 | 3.28% |   2999 | 3.00% |  29265 | 2.93% 


                             Strategy B Simulation #5 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     37 | 3.70% |    325 | 3.25% |   3380 | 3.38% |  33873 | 3.39% 
Mediterranean Avenue  |     24 | 2.40% |    226 | 2.26% |   2403 | 2.40% |  24028 | 2.40% 
Community Chest       |     27 | 2.70% |    232 | 2.32% |   2294 | 2.29% |  23962 | 2.40% 
Baltic Avenue         |     21 | 2.10% |    242 | 2.42% |   2409 | 2.41% |  24007 | 2.40% 
Income Tax            |     29 | 2.90% |    230 | 2.30% |   2726 | 2.73% |  26213 | 2.62% 
Reading Railroad      |     32 | 3.20% |    356 | 3.56% |   3400 | 3.40% |  33325 | 3.33% 
Oriental Avenue       |     31 | 3.10% |    266 | 2.66% |   2537 | 2.54% |  25595 | 2.56% 
Chance                |     29 | 2.90% |    270 | 2.70% |   2583 | 2.58% |  26480 | 2.65% 
Vermont Avenue        |     21 | 2.10% |    280 | 2.80% |   2597 | 2.60% |  26052 | 2.61% 
Connecticut Avenue    |     27 | 2.70% |    253 | 2.53% |   2599 | 2.60% |  25696 | 2.57% 
Jail                  |     56 | 5.60% |    579 | 5.79% |   5961 | 5.96% |  60489 | 6.05% 
St. Charles Place     |     32 | 3.20% |    292 | 2.92% |   3084 | 3.08% |  30509 | 3.05% 
Electric Company      |     35 | 3.50% |    268 | 2.68% |   2934 | 2.93% |  28729 | 2.87% 
States Avenue         |     27 | 2.70% |    258 | 2.58% |   2551 | 2.55% |  24630 | 2.46% 
Virginia Avenue       |     31 | 3.10% |    262 | 2.62% |   2448 | 2.45% |  24916 | 2.49% 
Pennsylvania Railroad |     24 | 2.40% |    304 | 3.04% |   2808 | 2.81% |  28530 | 2.85% 
St. James Place       |     28 | 2.80% |    220 | 2.20% |   2556 | 2.56% |  25391 | 2.54% 
Community Chest       |     17 | 1.70% |    290 | 2.90% |   2497 | 2.50% |  25444 | 2.54% 
Tennessee Avenue      |     24 | 2.40% |    263 | 2.63% |   2585 | 2.59% |  25567 | 2.56% 
New York Avenue       |     24 | 2.40% |    270 | 2.70% |   2712 | 2.71% |  27671 | 2.77% 
Free Parking          |     25 | 2.50% |    255 | 2.55% |   2510 | 2.51% |  25785 | 2.58% 
Kentucky Avenue       |     34 | 3.40% |    246 | 2.46% |   2580 | 2.58% |  25256 | 2.53% 
Chance                |     26 | 2.60% |    241 | 2.41% |   2587 | 2.59% |  25485 | 2.55% 
Indiana Avenue        |     23 | 2.30% |    238 | 2.38% |   2520 | 2.52% |  25385 | 2.54% 
Illinois Avenue       |     30 | 3.00% |    294 | 2.94% |   3019 | 3.02% |  30296 | 3.03% 
B. & O. Railroad      |     35 | 3.50% |    294 | 2.94% |   2866 | 2.87% |  28149 | 2.81% 
Atlantic Avenue       |     20 | 2.00% |    285 | 2.85% |   2612 | 2.61% |  24880 | 2.49% 
Ventnor Avenue        |     21 | 2.10% |    237 | 2.37% |   2416 | 2.42% |  24617 | 2.46% 
Water Works           |     24 | 2.40% |    260 | 2.60% |   2515 | 2.51% |  26298 | 2.63% 
Marvin Gardens        |     19 | 1.90% |    223 | 2.23% |   2483 | 2.48% |  24495 | 2.45% 
Go To Jail            |     23 | 2.30% |    218 | 2.18% |   2472 | 2.47% |  24571 | 2.46% 
Pacific Avenue        |     29 | 2.90% |    273 | 2.73% |   2476 | 2.48% |  24679 | 2.47% 
North Carolina Avenue |     25 | 2.50% |    246 | 2.46% |   2479 | 2.48% |  24850 | 2.49% 
Community Chest       |     28 | 2.80% |    287 | 2.87% |   2677 | 2.68% |  26526 | 2.65% 
Pennsylvania Avenue   |     30 | 3.00% |    232 | 2.32% |   2469 | 2.47% |  24770 | 2.48% 
Short Line            |     22 | 2.20% |    246 | 2.46% |   2552 | 2.55% |  25041 | 2.50% 
Chance                |     27 | 2.70% |    224 | 2.24% |   2468 | 2.47% |  25003 | 2.50% 
Park Place            |     27 | 2.70% |    276 | 2.76% |   2484 | 2.48% |  25061 | 2.51% 
Luxury Tax            |     14 | 1.40% |    264 | 2.64% |   2360 | 2.36% |  24439 | 2.44% 
Boardwalk             |     28 | 2.80% |    287 | 2.87% |   2927 | 2.93% |  29085 | 2.91% 


                             Strategy B Simulation #6 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     36 | 3.60% |    333 | 3.33% |   3358 | 3.36% |  33842 | 3.38% 
Mediterranean Avenue  |     24 | 2.40% |    251 | 2.51% |   2429 | 2.43% |  23990 | 2.40% 
Community Chest       |     25 | 2.50% |    232 | 2.32% |   2387 | 2.39% |  24226 | 2.42% 
Baltic Avenue         |     21 | 2.10% |    223 | 2.23% |   2389 | 2.39% |  23978 | 2.40% 
Income Tax            |     33 | 3.30% |    283 | 2.83% |   2538 | 2.54% |  26123 | 2.61% 
Reading Railroad      |     31 | 3.10% |    338 | 3.38% |   3458 | 3.46% |  33706 | 3.37% 
Oriental Avenue       |     25 | 2.50% |    251 | 2.51% |   2537 | 2.54% |  25780 | 2.58% 
Chance                |     31 | 3.10% |    258 | 2.58% |   2592 | 2.59% |  26041 | 2.60% 
Vermont Avenue        |     19 | 1.90% |    291 | 2.91% |   2628 | 2.63% |  26042 | 2.60% 
Connecticut Avenue    |     28 | 2.80% |    240 | 2.40% |   2600 | 2.60% |  25803 | 2.58% 
Jail                  |     60 | 6.00% |    590 | 5.90% |   6034 | 6.03% |  60081 | 6.01% 
St. Charles Place     |     34 | 3.40% |    311 | 3.11% |   3120 | 3.12% |  30518 | 3.05% 
Electric Company      |     34 | 3.40% |    271 | 2.71% |   2834 | 2.83% |  28534 | 2.85% 
States Avenue         |     20 | 2.00% |    233 | 2.33% |   2548 | 2.55% |  24923 | 2.49% 
Virginia Avenue       |     25 | 2.50% |    251 | 2.51% |   2479 | 2.48% |  24421 | 2.44% 
Pennsylvania Railroad |     32 | 3.20% |    292 | 2.92% |   2739 | 2.74% |  28659 | 2.87% 
St. James Place       |     23 | 2.30% |    246 | 2.46% |   2548 | 2.55% |  25425 | 2.54% 
Community Chest       |     26 | 2.60% |    278 | 2.78% |   2603 | 2.60% |  25478 | 2.55% 
Tennessee Avenue      |     17 | 1.70% |    234 | 2.34% |   2521 | 2.52% |  25783 | 2.58% 
New York Avenue       |     40 | 4.00% |    270 | 2.70% |   2771 | 2.77% |  27200 | 2.72% 
Free Parking          |     22 | 2.20% |    268 | 2.68% |   2588 | 2.59% |  25592 | 2.56% 
Kentucky Avenue       |     26 | 2.60% |    272 | 2.72% |   2584 | 2.58% |  25421 | 2.54% 
Chance                |     30 | 3.00% |    225 | 2.25% |   2574 | 2.57% |  25367 | 2.54% 
Indiana Avenue        |     24 | 2.40% |    232 | 2.32% |   2508 | 2.51% |  25388 | 2.54% 
Illinois Avenue       |     28 | 2.80% |    322 | 3.22% |   2973 | 2.97% |  30417 | 3.04% 
B. & O. Railroad      |     34 | 3.40% |    245 | 2.45% |   2767 | 2.77% |  28444 | 2.84% 
Atlantic Avenue       |     27 | 2.70% |    268 | 2.68% |   2423 | 2.42% |  24949 | 2.49% 
Ventnor Avenue        |     22 | 2.20% |    260 | 2.60% |   2463 | 2.46% |  24759 | 2.48% 
Water Works           |     20 | 2.00% |    250 | 2.50% |   2665 | 2.67% |  25921 | 2.59% 
Marvin Gardens        |     28 | 2.80% |    228 | 2.28% |   2472 | 2.47% |  24472 | 2.45% 
Go To Jail            |     23 | 2.30% |    245 | 2.45% |   2511 | 2.51% |  24357 | 2.44% 
Pacific Avenue        |     21 | 2.10% |    252 | 2.52% |   2508 | 2.51% |  25056 | 2.51% 
North Carolina Avenue |     24 | 2.40% |    277 | 2.77% |   2483 | 2.48% |  24832 | 2.48% 
Community Chest       |     30 | 3.00% |    277 | 2.77% |   2666 | 2.67% |  26586 | 2.66% 
Pennsylvania Avenue   |     26 | 2.60% |    254 | 2.54% |   2470 | 2.47% |  24896 | 2.49% 
Short Line            |     27 | 2.70% |    257 | 2.57% |   2423 | 2.42% |  24956 | 2.50% 
Chance                |     21 | 2.10% |    243 | 2.43% |   2473 | 2.47% |  24799 | 2.48% 
Park Place            |     14 | 1.40% |    249 | 2.49% |   2455 | 2.46% |  24472 | 2.45% 
Luxury Tax            |     28 | 2.80% |    238 | 2.38% |   2498 | 2.50% |  24559 | 2.46% 
Boardwalk             |     28 | 2.80% |    293 | 2.93% |   2984 | 2.98% |  29315 | 2.93% 


                             Strategy B Simulation #7 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     26 | 2.60% |    358 | 3.58% |   3407 | 3.41% |  33927 | 3.39% 
Mediterranean Avenue  |     14 | 1.40% |    242 | 2.42% |   2327 | 2.33% |  23847 | 2.38% 
Community Chest       |     22 | 2.20% |    265 | 2.65% |   2477 | 2.48% |  23783 | 2.38% 
Baltic Avenue         |     36 | 3.60% |    213 | 2.13% |   2505 | 2.51% |  24019 | 2.40% 
Income Tax            |     27 | 2.70% |    254 | 2.54% |   2616 | 2.62% |  26277 | 2.63% 
Reading Railroad      |     31 | 3.10% |    312 | 3.12% |   3294 | 3.29% |  33355 | 3.34% 
Oriental Avenue       |     27 | 2.70% |    264 | 2.64% |   2578 | 2.58% |  25794 | 2.58% 
Chance                |     23 | 2.30% |    285 | 2.85% |   2539 | 2.54% |  26078 | 2.61% 
Vermont Avenue        |     26 | 2.60% |    287 | 2.87% |   2604 | 2.60% |  26276 | 2.63% 
Connecticut Avenue    |     32 | 3.20% |    238 | 2.38% |   2602 | 2.60% |  25954 | 2.60% 
Jail                  |     69 | 6.90% |    602 | 6.02% |   5991 | 5.99% |  60350 | 6.04% 
St. Charles Place     |     34 | 3.40% |    305 | 3.05% |   3116 | 3.12% |  30533 | 3.05% 
Electric Company      |     31 | 3.10% |    290 | 2.90% |   2854 | 2.85% |  28534 | 2.85% 
States Avenue         |     14 | 1.40% |    257 | 2.57% |   2430 | 2.43% |  24779 | 2.48% 
Virginia Avenue       |     27 | 2.70% |    252 | 2.52% |   2560 | 2.56% |  24632 | 2.46% 
Pennsylvania Railroad |     29 | 2.90% |    271 | 2.71% |   2797 | 2.80% |  28199 | 2.82% 
St. James Place       |     27 | 2.70% |    243 | 2.43% |   2552 | 2.55% |  25437 | 2.54% 
Community Chest       |     31 | 3.10% |    242 | 2.42% |   2634 | 2.63% |  25347 | 2.53% 
Tennessee Avenue      |     29 | 2.90% |    285 | 2.85% |   2529 | 2.53% |  25838 | 2.58% 
New York Avenue       |     25 | 2.50% |    277 | 2.77% |   2835 | 2.84% |  27314 | 2.73% 
Free Parking          |     25 | 2.50% |    245 | 2.45% |   2477 | 2.48% |  25911 | 2.59% 
Kentucky Avenue       |     21 | 2.10% |    271 | 2.71% |   2512 | 2.51% |  25620 | 2.56% 
Chance                |     23 | 2.30% |    252 | 2.52% |   2595 | 2.60% |  25187 | 2.52% 
Indiana Avenue        |     31 | 3.10% |    244 | 2.44% |   2464 | 2.46% |  25406 | 2.54% 
Illinois Avenue       |     28 | 2.80% |    299 | 2.99% |   3115 | 3.12% |  29923 | 2.99% 
B. & O. Railroad      |     24 | 2.40% |    247 | 2.47% |   2877 | 2.88% |  28287 | 2.83% 
Atlantic Avenue       |     28 | 2.80% |    250 | 2.50% |   2415 | 2.42% |  25023 | 2.50% 
Ventnor Avenue        |     18 | 1.80% |    258 | 2.58% |   2532 | 2.53% |  24888 | 2.49% 
Water Works           |     26 | 2.60% |    283 | 2.83% |   2599 | 2.60% |  26260 | 2.63% 
Marvin Gardens        |     27 | 2.70% |    255 | 2.55% |   2442 | 2.44% |  24230 | 2.42% 
Go To Jail            |     29 | 2.90% |    229 | 2.29% |   2413 | 2.41% |  24525 | 2.45% 
Pacific Avenue        |     22 | 2.20% |    241 | 2.41% |   2489 | 2.49% |  24949 | 2.49% 
North Carolina Avenue |     25 | 2.50% |    259 | 2.59% |   2449 | 2.45% |  24841 | 2.48% 
Community Chest       |     26 | 2.60% |    274 | 2.74% |   2575 | 2.57% |  26531 | 2.65% 
Pennsylvania Avenue   |     31 | 3.10% |    235 | 2.35% |   2473 | 2.47% |  24858 | 2.49% 
Short Line            |     27 | 2.70% |    240 | 2.40% |   2544 | 2.54% |  25121 | 2.51% 
Chance                |     23 | 2.30% |    242 | 2.42% |   2594 | 2.59% |  25067 | 2.51% 
Park Place            |     28 | 2.80% |    267 | 2.67% |   2487 | 2.49% |  24594 | 2.46% 
Luxury Tax            |     19 | 1.90% |    249 | 2.49% |   2440 | 2.44% |  24303 | 2.43% 
Boardwalk             |     23 | 2.30% |    268 | 2.68% |   2827 | 2.83% |  29484 | 2.95% 


                             Strategy B Simulation #8 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     29 | 2.90% |    346 | 3.46% |   3359 | 3.36% |  33901 | 3.39% 
Mediterranean Avenue  |     28 | 2.80% |    227 | 2.27% |   2423 | 2.42% |  23901 | 2.39% 
Community Chest       |     25 | 2.50% |    228 | 2.28% |   2518 | 2.52% |  23948 | 2.39% 
Baltic Avenue         |     27 | 2.70% |    265 | 2.65% |   2328 | 2.33% |  24258 | 2.43% 
Income Tax            |     32 | 3.20% |    254 | 2.54% |   2576 | 2.58% |  26242 | 2.62% 
Reading Railroad      |     27 | 2.70% |    350 | 3.50% |   3419 | 3.42% |  33453 | 3.35% 
Oriental Avenue       |     20 | 2.00% |    240 | 2.40% |   2576 | 2.58% |  25473 | 2.55% 
Chance                |     20 | 2.00% |    266 | 2.66% |   2628 | 2.63% |  26114 | 2.61% 
Vermont Avenue        |     26 | 2.60% |    262 | 2.62% |   2549 | 2.55% |  26014 | 2.60% 
Connecticut Avenue    |     30 | 3.00% |    259 | 2.59% |   2593 | 2.59% |  25921 | 2.59% 
Jail                  |     66 | 6.60% |    592 | 5.92% |   6028 | 6.03% |  60268 | 6.03% 
St. Charles Place     |     26 | 2.60% |    321 | 3.21% |   3038 | 3.04% |  30514 | 3.05% 
Electric Company      |     35 | 3.50% |    292 | 2.92% |   2779 | 2.78% |  28471 | 2.85% 
States Avenue         |     25 | 2.50% |    226 | 2.26% |   2462 | 2.46% |  24755 | 2.48% 
Virginia Avenue       |     23 | 2.30% |    270 | 2.70% |   2503 | 2.50% |  24833 | 2.48% 
Pennsylvania Railroad |     28 | 2.80% |    285 | 2.85% |   2883 | 2.88% |  28730 | 2.87% 
St. James Place       |     22 | 2.20% |    246 | 2.46% |   2641 | 2.64% |  25326 | 2.53% 
Community Chest       |     35 | 3.50% |    263 | 2.63% |   2556 | 2.56% |  25478 | 2.55% 
Tennessee Avenue      |     32 | 3.20% |    254 | 2.54% |   2511 | 2.51% |  25551 | 2.56% 
New York Avenue       |     18 | 1.80% |    276 | 2.76% |   2752 | 2.75% |  27473 | 2.75% 
Free Parking          |     22 | 2.20% |    271 | 2.71% |   2511 | 2.51% |  25661 | 2.57% 
Kentucky Avenue       |     34 | 3.40% |    223 | 2.23% |   2543 | 2.54% |  25539 | 2.55% 
Chance                |     24 | 2.40% |    270 | 2.70% |   2504 | 2.50% |  25488 | 2.55% 
Indiana Avenue        |     20 | 2.00% |    238 | 2.38% |   2548 | 2.55% |  25191 | 2.52% 
Illinois Avenue       |     23 | 2.30% |    315 | 3.15% |   3116 | 3.12% |  29945 | 2.99% 
B. & O. Railroad      |     35 | 3.50% |    285 | 2.85% |   2833 | 2.83% |  28413 | 2.84% 
Atlantic Avenue       |     30 | 3.00% |    264 | 2.64% |   2461 | 2.46% |  24795 | 2.48% 
Ventnor Avenue        |     23 | 2.30% |    250 | 2.50% |   2358 | 2.36% |  25116 | 2.51% 
Water Works           |     27 | 2.70% |    272 | 2.72% |   2664 | 2.66% |  26275 | 2.63% 
Marvin Gardens        |     24 | 2.40% |    241 | 2.41% |   2405 | 2.41% |  24305 | 2.43% 
Go To Jail            |     26 | 2.60% |    255 | 2.55% |   2503 | 2.50% |  24552 | 2.46% 
Pacific Avenue        |     20 | 2.00% |    245 | 2.45% |   2610 | 2.61% |  24775 | 2.48% 
North Carolina Avenue |     24 | 2.40% |    248 | 2.48% |   2508 | 2.51% |  24904 | 2.49% 
Community Chest       |     25 | 2.50% |    286 | 2.86% |   2574 | 2.57% |  26587 | 2.66% 
Pennsylvania Avenue   |     34 | 3.40% |    241 | 2.41% |   2492 | 2.49% |  24916 | 2.49% 
Short Line            |     27 | 2.70% |    236 | 2.36% |   2559 | 2.56% |  24897 | 2.49% 
Chance                |     28 | 2.80% |    283 | 2.83% |   2479 | 2.48% |  24675 | 2.47% 
Park Place            |     22 | 2.20% |    218 | 2.18% |   2502 | 2.50% |  24907 | 2.49% 
Luxury Tax            |     14 | 1.40% |    236 | 2.36% |   2389 | 2.39% |  24503 | 2.45% 
Boardwalk             |     27 | 2.70% |    302 | 3.02% |   2892 | 2.89% |  29247 | 2.92% 


                             Strategy B Simulation #9 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     31 | 3.10% |    355 | 3.55% |   3414 | 3.41% |  33700 | 3.37% 
Mediterranean Avenue  |     30 | 3.00% |    206 | 2.06% |   2326 | 2.33% |  23709 | 2.37% 
Community Chest       |     19 | 1.90% |    254 | 2.54% |   2501 | 2.50% |  23914 | 2.39% 
Baltic Avenue         |     24 | 2.40% |    239 | 2.39% |   2392 | 2.39% |  24158 | 2.42% 
Income Tax            |     27 | 2.70% |    265 | 2.65% |   2663 | 2.66% |  26449 | 2.64% 
Reading Railroad      |     30 | 3.00% |    336 | 3.36% |   3387 | 3.39% |  33393 | 3.34% 
Oriental Avenue       |     25 | 2.50% |    258 | 2.58% |   2541 | 2.54% |  25567 | 2.56% 
Chance                |     15 | 1.50% |    263 | 2.63% |   2563 | 2.56% |  26025 | 2.60% 
Vermont Avenue        |     36 | 3.60% |    255 | 2.55% |   2642 | 2.64% |  26067 | 2.61% 
Connecticut Avenue    |     21 | 2.10% |    265 | 2.65% |   2553 | 2.55% |  25958 | 2.60% 
Jail                  |     61 | 6.10% |    604 | 6.04% |   6095 | 6.10% |  60023 | 6.00% 
St. Charles Place     |     28 | 2.80% |    323 | 3.23% |   3029 | 3.03% |  30292 | 3.03% 
Electric Company      |     34 | 3.40% |    270 | 2.70% |   2868 | 2.87% |  28787 | 2.88% 
States Avenue         |     25 | 2.50% |    260 | 2.60% |   2462 | 2.46% |  24960 | 2.50% 
Virginia Avenue       |     23 | 2.30% |    255 | 2.55% |   2441 | 2.44% |  24718 | 2.47% 
Pennsylvania Railroad |     27 | 2.70% |    288 | 2.88% |   2818 | 2.82% |  28619 | 2.86% 
St. James Place       |     29 | 2.90% |    240 | 2.40% |   2515 | 2.51% |  25250 | 2.53% 
Community Chest       |     21 | 2.10% |    268 | 2.68% |   2610 | 2.61% |  25443 | 2.54% 
Tennessee Avenue      |     27 | 2.70% |    239 | 2.39% |   2643 | 2.64% |  25591 | 2.56% 
New York Avenue       |     27 | 2.70% |    263 | 2.63% |   2690 | 2.69% |  27275 | 2.73% 
Free Parking          |     29 | 2.90% |    261 | 2.61% |   2484 | 2.48% |  25753 | 2.58% 
Kentucky Avenue       |     21 | 2.10% |    266 | 2.66% |   2566 | 2.57% |  25649 | 2.56% 
Chance                |     31 | 3.10% |    260 | 2.60% |   2545 | 2.55% |  25434 | 2.54% 
Indiana Avenue        |     27 | 2.70% |    246 | 2.46% |   2593 | 2.59% |  25180 | 2.52% 
Illinois Avenue       |     31 | 3.10% |    304 | 3.04% |   2971 | 2.97% |  30088 | 3.01% 
B. & O. Railroad      |     27 | 2.70% |    261 | 2.61% |   2794 | 2.79% |  28631 | 2.86% 
Atlantic Avenue       |     21 | 2.10% |    250 | 2.50% |   2517 | 2.52% |  24848 | 2.48% 
Ventnor Avenue        |     28 | 2.80% |    246 | 2.46% |   2490 | 2.49% |  24794 | 2.48% 
Water Works           |     31 | 3.10% |    268 | 2.68% |   2546 | 2.55% |  26282 | 2.63% 
Marvin Gardens        |     18 | 1.80% |    235 | 2.35% |   2385 | 2.39% |  24259 | 2.43% 
Go To Jail            |     25 | 2.50% |    255 | 2.55% |   2453 | 2.45% |  24450 | 2.45% 
Pacific Avenue        |     19 | 1.90% |    258 | 2.58% |   2571 | 2.57% |  24990 | 2.50% 
North Carolina Avenue |     26 | 2.60% |    246 | 2.46% |   2487 | 2.49% |  24797 | 2.48% 
Community Chest       |     23 | 2.30% |    276 | 2.76% |   2655 | 2.66% |  26482 | 2.65% 
Pennsylvania Avenue   |     31 | 3.10% |    226 | 2.26% |   2445 | 2.45% |  25111 | 2.51% 
Short Line            |     29 | 2.90% |    247 | 2.47% |   2561 | 2.56% |  24782 | 2.48% 
Chance                |     22 | 2.20% |    228 | 2.28% |   2486 | 2.49% |  24605 | 2.46% 
Park Place            |     27 | 2.70% |    260 | 2.60% |   2442 | 2.44% |  24890 | 2.49% 
Luxury Tax            |     25 | 2.50% |    269 | 2.69% |   2446 | 2.45% |  24650 | 2.47% 
Boardwalk             |     28 | 2.80% |    291 | 2.91% |   2940 | 2.94% |  29486 | 2.95% 


                             Strategy B Simulation #10 of 10
