                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Oriental Avenue       |     24 | 2.40% |    251 | 2.51% |   2583 | 2.58% |  25404 | 2.54% 
Chance                |     18 | 1.80% |    259 | 2.59% |   2627 | 2.63% |  26111 | 2.61% 
Vermont Avenue        |     30 | 3.00% |    252 | 2.52% |   2656 | 2.66% |  25989 | 2.60% 
Connecticut Avenue    |     24 | 2.40% |    247 | 2.47% |   2479 | 2.48% |  25871 | 2.59% 
Jail                  |     67 | 6.70% |    603 | 6.03% |   6037 | 6.04% |  60340 | 6.03% 
St. Charles Place     |     27 | 2.70% |    339 | 3.39% |   3082 | 3.08% |  30613 | 3.06% 
Electric Company      |     27 | 2.70% |    274 | 2.74% |   2828 | 2.83% |  28468 | 2.85% 
States Avenue         |     23 | 2.30% |    258 | 2.58% |   2501 | 2.50% |  24963 | 2.50% 
Virginia Avenue       |     23 | 2.30% |    225 | 2.25% |   2571 | 2.57% |  24751 | 2.48% 
Pennsylvania Railroad |     28 | 2.80% |    286 | 2.86% |   2744 | 2.74% |  28550 | 2.86% 
St. James Place       |     34 | 3.40% |    262 | 2.62% |   2548 | 2.55% |  25472 | 2.55% 
Community Chest       |     29 | 2.90% |    260 | 2.60% |   2580 | 2.58% |  25745 | 2.57% 
Tennessee Avenue      |     17 | 1.70% |    262 | 2.62% |   2617 | 2.62% |  25733 | 2.57% 
New York Avenue       |     26 | 2.60% |    271 | 2.71% |   2753 | 2.75% |  27037 | 2.70% 
Free Parking          |     30 | 3.00% |    249 | 2.49% |   2505 | 2.51% |  25923 | 2.59% 
Kentucky Avenue       |     24 | 2.40% |    207 | 2.07% |   2495 | 2.50% |  25409 | 2.54% 
Chance                |     18 | 1.80% |    280 | 2.80% |   2639 | 2.64% |  25249 | 2.52% 
Indiana Avenue        |     30 | 3.00% |    239 | 2.39% |   2546 | 2.55% |  25392 | 2.54% 
Illinois Avenue       |     29 | 2.90% |    319 | 3.19% |   3021 | 3.02% |  30083 | 3.01% 
B. & O. Railroad      |     27 | 2.70% |    327 | 3.27% |   2831 | 2.83% |  28451 | 2.85% 
Atlantic Avenue       |     22 | 2.20% |    231 | 2.31% |   2482 | 2.48% |  24986 | 2.50% 
Ventnor Avenue        |     19 | 1.90% |    267 | 2.67% |   2426 | 2.43% |  24737 | 2.47% 
Water Works           |     28 | 2.80% |    219 | 2.19% |   2599 | 2.60% |  26057 | 2.61% 
Marvin Gardens        |     31 | 3.10% |    239 | 2.39% |   2429 | 2.43% |  24261 | 2.43% 
Go To Jail            |     33 | 3.30% |    233 | 2.33% |   2465 | 2.47% |  24584 | 2.46% 
Pacific Avenue        |     24 | 2.40% |    268 | 2.68% |   2539 | 2.54% |  24796 | 2.48% 
North Carolina Avenue |     20 | 2.00% |    244 | 2.44% |   2538 | 2.54% |  24835 | 2.48% 
Community Chest       |     25 | 2.50% |    286 | 2.86% |   2677 | 2.68% |  26563 | 2.66% 
Pennsylvania Avenue   |     21 | 2.10% |    230 | 2.30% |   2421 | 2.42% |  25391 | 2.54% 
Short Line            |     27 | 2.70% |    242 | 2.42% |   2396 | 2.40% |  24688 | 2.47% 
Chance                |     29 | 2.90% |    246 | 2.46% |   2497 | 2.50% |  24665 | 2.47% 
Park Place            |     36 | 3.60% |    249 | 2.49% |   2426 | 2.43% |  24773 | 2.48% 
Luxury Tax            |     17 | 1.70% |    232 | 2.32% |   2459 | 2.46% |  24464 | 2.45% 
Boardwalk             |     30 | 3.00% |    305 | 3.05% |   3006 | 3.01% |  29467 | 2.95% 


                             Strategy A Simulation #4 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     30 | 3.00% |    366 | 3.66% |   3356 | 3.36% |  34027 | 3.40% 
Mediterranean Avenue  |     29 | 2.90% |    216 | 2.16% |   2334 | 2.33% |  23899 | 2.39% 
Community Chest       |     31 | 3.10% |    272 | 2.72% |   2435 | 2.44% |  23659 | 2.37% 
Baltic Avenue         |     19 | 1.90% |    235 | 2.35% |   2373 | 2.37% |  24131 | 2.41% 
Income Tax            |     26 | 2.60% |    258 | 2.58% |   2634 | 2.63% |  26198 | 2.62% 
Reading Railroad      |     27 | 2.70% |    329 | 3.29% |   3346 | 3.35% |  33799 | 3.38% 
Oriental Avenue       |     20 | 2.00% |    246 | 2.46% |   2636 | 2.64% |  25805 | 2.58% 
Chance                |     27 | 2.70% |    313 | 3.13% |   2594 | 2.59% |  26009 | 2.60% 
Vermont Avenue        |     35 | 3.50% |    255 | 2.55% |   2647 | 2.65% |  26105 | 2.61% 
Connecticut Avenue    |     32 | 3.20% |    281 | 2.81% |   2566 | 2.57% |  25695 | 2.57% 
Jail                  |     62 | 6.20% |    568 | 5.68% |   6113 | 6.11% |  60265 | 6.03% 
St. Charles Place     |     25 | 2.50% |    297 | 2.97% |   2997 | 3.00% |  30554 | 3.06% 
Electric Company      |     27 | 2.70% |    285 | 2.85% |   2850 | 2.85% |  28515 | 2.85% 
States Avenue         |     19 | 1.90% |    230 | 2.30% |   2439 | 2.44% |  24957 | 2.50% 
Virginia Avenue       |     21 | 2.10% |    222 | 2.22% |   2570 | 2.57% |  24827 | 2.48% 
Pennsylvania Railroad |     31 | 3.10% |    323 | 3.23% |   2810 | 2.81% |  28248 | 2.82% 
St. James Place       |     26 | 2.60% |    255 | 2.55% |   2534 | 2.53% |  25402 | 2.54% 
Community Chest       |     29 | 2.90% |    246 | 2.46% |   2520 | 2.52% |  25415 | 2.54% 
Tennessee Avenue      |     34 | 3.40% |    290 | 2.90% |   2538 | 2.54% |  25785 | 2.58% 
New York Avenue       |     24 | 2.40% |    263 | 2.63% |   2769 | 2.77% |  27625 | 2.76% 
Free Parking          |     22 | 2.20% |    243 | 2.43% |   2574 | 2.57% |  25680 | 2.57% 
Kentucky Avenue       |     22 | 2.20% |    243 | 2.43% |   2508 | 2.51% |  25143 | 2.51% 
Chance                |     28 | 2.80% |    281 | 2.81% |   2488 | 2.49% |  25682 | 2.57% 
Indiana Avenue        |     25 | 2.50% |    234 | 2.34% |   2562 | 2.56% |  25222 | 2.52% 
Illinois Avenue       |     33 | 3.30% |    306 | 3.06% |   3063 | 3.06% |  29826 | 2.98% 
B. & O. Railroad      |     19 | 1.90% |    284 | 2.84% |   2778 | 2.78% |  28352 | 2.84% 
Atlantic Avenue       |     37 | 3.70% |    263 | 2.63% |   2471 | 2.47% |  25140 | 2.51% 
Ventnor Avenue        |     26 | 2.60% |    268 | 2.68% |   2481 | 2.48% |  24649 | 2.46% 
Water Works           |     17 | 1.70% |    283 | 2.83% |   2614 | 2.61% |  26191 | 2.62% 
Marvin Gardens        |     22 | 2.20% |    236 | 2.36% |   2403 | 2.40% |  24222 | 2.42% 
Go To Jail            |     22 | 2.20% |    228 | 2.28% |   2515 | 2.51% |  24552 | 2.46% 
Pacific Avenue        |     30 | 3.00% |    242 | 2.42% |   2416 | 2.42% |  25103 | 2.51% 
North Carolina Avenue |     30 | 3.00% |    242 | 2.42% |   2493 | 2.49% |  24931 | 2.49% 
Community Chest       |     23 | 2.30% |    272 | 2.72% |   2684 | 2.68% |  26391 | 2.64% 
Pennsylvania Avenue   |     33 | 3.30% |    241 | 2.41% |   2556 | 2.56% |  25005 | 2.50% 
Short Line            |     22 | 2.20% |    232 | 2.32% |   2424 | 2.42% |  24898 | 2.49% 
Chance                |     27 | 2.70% |    236 | 2.36% |   2474 | 2.47% |  24989 | 2.50% 
Park Place            |     22 | 2.20% |    255 | 2.55% |   2525 | 2.53% |  24731 | 2.47% 
Luxury Tax            |     21 | 2.10% |    238 | 2.38% |   2549 | 2.55% |  24565 | 2.46% 
Boardwalk             |     33 | 3.30% |    307 | 3.07% |   2905 | 2.91% |  29323 | 2.93% 


                             Strategy A Simulation #5 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     37 | 3.70% |    337 | 3.37% |   3328 | 3.33% |  33952 | 3.40% 
Mediterranean Avenue  |     23 | 2.30% |    247 | 2.47% |   2428 | 2.43% |  23807 | 2.38% 
Community Chest       |     25 | 2.50% |    246 | 2.46% |   2419 | 2.42% |  24018 | 2.40% 
Baltic Avenue         |     36 | 3.60% |    252 | 2.52% |   2493 | 2.49% |  23954 | 2.40% 
Income Tax            |     19 | 1.90% |    246 | 2.46% |   2652 | 2.65% |  26348 | 2.63% 
Reading Railroad      |     28 | 2.80% |    330 | 3.30% |   3375 | 3.38% |  33549 | 3.35% 
Oriental Avenue       |     22 | 2.20% |    264 | 2.64% |   2494 | 2.49% |  25716 | 2.57% 
Chance                |     28 | 2.80% |    240 | 2.40% |   2577 | 2.58% |  25851 | 2.59% 
Vermont Avenue        |     28 | 2.80% |    258 | 2.58% |   2580 | 2.58% |  26203 | 2.62% 
Connecticut Avenue    |     31 | 3.10% |    255 | 2.55% |   2631 | 2.63% |  25741 | 2.57% 
Jail                  |     49 | 4.90% |    601 | 6.01% |   6009 | 6.01% |  60405 | 6.04% 
