                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Oriental Avenue       |     30 | 3.00% |    253 | 2.53% |   2583 | 2.58% |  25529 | 2.55% 
Chance                |     28 | 2.80% |    253 | 2.53% |   2647 | 2.65% |  26220 | 2.62% 
Vermont Avenue        |     32 | 3.20% |    272 | 2.72% |   2624 | 2.62% |  26143 | 2.61% 
Connecticut Avenue    |     23 | 2.30% |    225 | 2.25% |   2644 | 2.64% |  25915 | 2.59% 
Jail                  |     66 | 6.60% |    631 | 6.31% |   6042 | 6.04% |  60383 | 6.04% 
St. Charles Place     |     30 | 3.00% |    306 | 3.06% |   3016 | 3.02% |  30598 | 3.06% 
Electric Company      |     28 | 2.80% |    306 | 3.06% |   2855 | 2.86% |  28679 | 2.87% 
States Avenue         |     23 | 2.30% |    279 | 2.79% |   2489 | 2.49% |  24546 | 2.45% 
Virginia Avenue       |     19 | 1.90% |    228 | 2.28% |   2533 | 2.53% |  24766 | 2.48% 
Pennsylvania Railroad |     33 | 3.30% |    272 | 2.72% |   2880 | 2.88% |  28542 | 2.85% 
St. James Place       |     17 | 1.70% |    272 | 2.72% |   2461 | 2.46% |  25430 | 2.54% 
Community Chest       |     27 | 2.70% |    265 | 2.65% |   2480 | 2.48% |  25321 | 2.53% 
Tennessee Avenue      |     38 | 3.80% |    244 | 2.44% |   2596 | 2.60% |  25777 | 2.58% 
New York Avenue       |     31 | 3.10% |    290 | 2.90% |   2845 | 2.84% |  27483 | 2.75% 
Free Parking          |     28 | 2.80% |    253 | 2.53% |   2519 | 2.52% |  25660 | 2.57% 
Kentucky Avenue       |     17 | 1.70% |    252 | 2.52% |   2563 | 2.56% |  25435 | 2.54% 
Chance                |     24 | 2.40% |    257 | 2.57% |   2471 | 2.47% |  25535 | 2.55% 
Indiana Avenue        |     27 | 2.70% |    268 | 2.68% |   2545 | 2.55% |  25172 | 2.52% 
Illinois Avenue       |     29 | 2.90% |    289 | 2.89% |   3023 | 3.02% |  29893 | 2.99% 
B. & O. Railroad      |     29 | 2.90% |    280 | 2.80% |   2830 | 2.83% |  28231 | 2.82% 
Atlantic Avenue       |     22 | 2.20% |    243 | 2.43% |   2545 | 2.55% |  24694 | 2.47% 
Ventnor Avenue        |     28 | 2.80% |    261 | 2.61% |   2429 | 2.43% |  25039 | 2.50% 
Water Works           |     25 | 2.50% |    264 | 2.64% |   2542 | 2.54% |  26441 | 2.64% 
Marvin Gardens        |     27 | 2.70% |    250 | 2.50% |   2428 | 2.43% |  24274 | 2.43% 
Go To Jail            |     32 | 3.20% |    250 | 2.50% |   2519 | 2.52% |  24847 | 2.48% 
Pacific Avenue        |     16 | 1.60% |    263 | 2.63% |   2434 | 2.43% |  25083 | 2.51% 
North Carolina Avenue |     18 | 1.80% |    238 | 2.38% |   2513 | 2.51% |  24587 | 2.46% 
Community Chest       |     26 | 2.60% |    234 | 2.34% |   2622 | 2.62% |  26523 | 2.65% 
Pennsylvania Avenue   |     25 | 2.50% |    250 | 2.50% |   2498 | 2.50% |  24929 | 2.49% 
Short Line            |     36 | 3.60% |    234 | 2.34% |   2497 | 2.50% |  25006 | 2.50% 
Chance                |     22 | 2.20% |    255 | 2.55% |   2449 | 2.45% |  24800 | 2.48% 
Park Place            |     30 | 3.00% |    254 | 2.54% |   2501 | 2.50% |  24744 | 2.47% 
Luxury Tax            |     24 | 2.40% |    219 | 2.19% |   2409 | 2.41% |  24439 | 2.44% 
Boardwalk             |     23 | 2.30% |    290 | 2.90% |   2902 | 2.90% |  29370 | 2.94% 


