                             Strategy A Simulation #1 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Illinois Avenue       |     32 | 3.20% |    334 | 3.34% |   2962 | 2.96% |  29881 | 2.99% 
B. & O. Railroad      |     29 | 2.90% |    262 | 2.62% |   2915 | 2.92% |  28322 | 2.83% 
Atlantic Avenue       |     28 | 2.80% |    252 | 2.52% |   2518 | 2.52% |  25123 | 2.51% 
Ventnor Avenue        |     28 | 2.80% |    250 | 2.50% |   2459 | 2.46% |  24493 | 2.45% 
Water Works           |     21 | 2.10% |    269 | 2.69% |   2601 | 2.60% |  26381 | 2.64% 
Marvin Gardens        |     18 | 1.80% |    247 | 2.47% |   2431 | 2.43% |  24492 | 2.45% 
Go To Jail            |     19 | 1.90% |    243 | 2.43% |   2451 | 2.45% |  24516 | 2.45% 
Pacific Avenue        |     23 | 2.30% |    250 | 2.50% |   2552 | 2.55% |  24906 | 2.49% 
North Carolina Avenue |     22 | 2.20% |    249 | 2.49% |   2418 | 2.42% |  24783 | 2.48% 
Community Chest       |     31 | 3.10% |    264 | 2.64% |   2742 | 2.74% |  26351 | 2.64% 
Pennsylvania Avenue   |     29 | 2.90% |    254 | 2.54% |   2455 | 2.46% |  24898 | 2.49% 
Short Line            |     22 | 2.20% |    249 | 2.49% |   2479 | 2.48% |  24963 | 2.50% 
Chance                |     29 | 2.90% |    236 | 2.36% |   2413 | 2.41% |  25020 | 2.50% 
Park Place            |     23 | 2.30% |    254 | 2.54% |   2509 | 2.51% |  24972 | 2.50% 
Luxury Tax            |     11 | 1.10% |    246 | 2.46% |   2528 | 2.53% |  24325 | 2.43% 
Boardwalk             |     32 | 3.20% |    303 | 3.03% |   2919 | 2.92% |  29387 | 2.94% 


                             Strategy B Simulation #4 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     27 | 2.70% |    335 | 3.35% |   3400 | 3.40% |  34164 | 3.42% 
Mediterranean Avenue  |     27 | 2.70% |    238 | 2.38% |   2430 | 2.43% |  23958 | 2.40% 
Community Chest       |     29 | 2.90% |    265 | 2.65% |   2407 | 2.41% |  23724 | 2.37% 
Baltic Avenue         |     19 | 1.90% |    241 | 2.41% |   2429 | 2.43% |  24017 | 2.40% 
Income Tax            |     19 | 1.90% |    236 | 2.36% |   2627 | 2.63% |  26468 | 2.65% 
Reading Railroad      |     39 | 3.90% |    338 | 3.38% |   3317 | 3.32% |  33451 | 3.35% 
Oriental Avenue       |     28 | 2.80% |    248 | 2.48% |   2595 | 2.60% |  25481 | 2.55% 
Chance                |     29 | 2.90% |    277 | 2.77% |   2612 | 2.61% |  26190 | 2.62% 
Vermont Avenue        |     33 | 3.30% |    241 | 2.41% |   2606 | 2.61% |  26298 | 2.63% 
Connecticut Avenue    |     20 | 2.00% |    253 | 2.53% |   2556 | 2.56% |  25966 | 2.60% 
Jail                  |     64 | 6.40% |    626 | 6.26% |   5983 | 5.98% |  59812 | 5.98% 
St. Charles Place     |     33 | 3.30% |    325 | 3.25% |   3032 | 3.03% |  30546 | 3.05% 
Electric Company      |     27 | 2.70% |    256 | 2.56% |   2887 | 2.89% |  28346 | 2.83% 
States Avenue         |     32 | 3.20% |    221 | 2.21% |   2455 | 2.46% |  25111 | 2.51% 
Virginia Avenue       |     25 | 2.50% |    272 | 2.72% |   2473 | 2.47% |  24548 | 2.45% 
Pennsylvania Railroad |     31 | 3.10% |    266 | 2.66% |   2983 | 2.98% |  28562 | 2.86% 
St. James Place       |     21 | 2.10% |    261 | 2.61% |   2513 | 2.51% |  25434 | 2.54% 
Community Chest       |     31 | 3.10% |    256 | 2.56% |   2564 | 2.56% |  25619 | 2.56% 
Tennessee Avenue      |     26 | 2.60% |    235 | 2.35% |   2560 | 2.56% |  25513 | 2.55% 
New York Avenue       |     26 | 2.60% |    308 | 3.08% |   2678 | 2.68% |  27390 | 2.74% 
Free Parking          |     21 | 2.10% |    250 | 2.50% |   2563 | 2.56% |  25667 | 2.57% 
Kentucky Avenue       |     27 | 2.70% |    279 | 2.79% |   2524 | 2.52% |  25567 | 2.56% 
Chance                |     33 | 3.30% |    246 | 2.46% |   2521 | 2.52% |  25522 | 2.55% 
Indiana Avenue        |     19 | 1.90% |    236 | 2.36% |   2566 | 2.57% |  25454 | 2.55% 
Illinois Avenue       |     34 | 3.40% |    316 | 3.16% |   3033 | 3.03% |  30144 | 3.01% 
B. & O. Railroad      |     28 | 2.80% |    286 | 2.86% |   2856 | 2.86% |  28312 | 2.83% 
Atlantic Avenue       |     19 | 1.90% |    247 | 2.47% |   2461 | 2.46% |  24816 | 2.48% 
Ventnor Avenue        |     21 | 2.10% |    222 | 2.22% |   2399 | 2.40% |  24755 | 2.48% 
Water Works           |     31 | 3.10% |    283 | 2.83% |   2624 | 2.62% |  26521 | 2.65% 
Marvin Gardens        |     29 | 2.90% |    251 | 2.51% |   2392 | 2.39% |  24077 | 2.41% 
Go To Jail            |     32 | 3.20% |    246 | 2.46% |   2450 | 2.45% |  24448 | 2.44% 
Pacific Avenue        |     21 | 2.10% |    247 | 2.47% |   2538 | 2.54% |  24746 | 2.47% 
North Carolina Avenue |     23 | 2.30% |    257 | 2.57% |   2488 | 2.49% |  25151 | 2.52% 
Community Chest       |     23 | 2.30% |    264 | 2.64% |   2699 | 2.70% |  26397 | 2.64% 
Pennsylvania Avenue   |     22 | 2.20% |    252 | 2.52% |   2496 | 2.50% |  24979 | 2.50% 
Short Line            |     17 | 1.70% |    261 | 2.61% |   2527 | 2.53% |  25282 | 2.53% 
Chance                |     29 | 2.90% |    251 | 2.51% |   2467 | 2.47% |  24841 | 2.48% 
Park Place            |     26 | 2.60% |    225 | 2.25% |   2445 | 2.45% |  24534 | 2.45% 
Luxury Tax            |     30 | 3.00% |    249 | 2.49% |   2515 | 2.51% |  24532 | 2.45% 
Boardwalk             |     33 | 3.30% |    297 | 2.97% |   2844 | 2.84% |  29011 | 2.90% 


                             Strategy B Simulation #5 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     37 | 3.70% |    347 | 3.47% |   3286 | 3.29% |  33885 | 3.39% 
Mediterranean Avenue  |     20 | 2.00% |    242 | 2.42% |   2338 | 2.34% |  23985 | 2.40% 
Community Chest       |     27 | 2.70% |    242 | 2.42% |   2441 | 2.44% |  24029 | 2.40% 
Baltic Avenue         |     16 | 1.60% |    239 | 2.39% |   2416 | 2.42% |  23862 | 2.39% 
Income Tax            |     29 | 2.90% |    249 | 2.49% |   2616 | 2.62% |  26239 | 2.62% 
Reading Railroad      |     38 | 3.80% |    332 | 3.32% |   3511 | 3.51% |  33494 | 3.35% 
Oriental Avenue       |     28 | 2.80% |    238 | 2.38% |   2525 | 2.53% |  25717 | 2.57% 
Chance                |     28 | 2.80% |    265 | 2.65% |   2629 | 2.63% |  26271 | 2.63% 
Vermont Avenue        |     23 | 2.30% |    293 | 2.93% |   2523 | 2.52% |  25935 | 2.59% 
Connecticut Avenue    |     23 | 2.30% |    259 | 2.59% |   2584 | 2.58% |  25919 | 2.59% 
Jail                  |     64 | 6.40% |    563 | 5.63% |   6009 | 6.01% |  60339 | 6.03% 
St. Charles Place     |     31 | 3.10% |    297 | 2.97% |   3082 | 3.08% |  30592 | 3.06% 
Electric Company      |     34 | 3.40% |    319 | 3.19% |   2869 | 2.87% |  28697 | 2.87% 
States Avenue         |     24 | 2.40% |    246 | 2.46% |   2507 | 2.51% |  24849 | 2.48% 
Virginia Avenue       |     23 | 2.30% |    242 | 2.42% |   2493 | 2.49% |  24636 | 2.46% 
Pennsylvania Railroad |     35 | 3.50% |    315 | 3.15% |   2901 | 2.90% |  28622 | 2.86% 
St. James Place       |     22 | 2.20% |    252 | 2.52% |   2607 | 2.61% |  25382 | 2.54% 
Community Chest       |     28 | 2.80% |    250 | 2.50% |   2572 | 2.57% |  25285 | 2.53% 
Tennessee Avenue      |     26 | 2.60% |    235 | 2.35% |   2539 | 2.54% |  25836 | 2.58% 
New York Avenue       |     28 | 2.80% |    274 | 2.74% |   2735 | 2.74% |  27353 | 2.74% 
Free Parking          |     21 | 2.10% |    279 | 2.79% |   2556 | 2.56% |  25748 | 2.57% 
Kentucky Avenue       |     29 | 2.90% |    260 | 2.60% |   2478 | 2.48% |  25274 | 2.53% 
Chance                |     18 | 1.80% |    249 | 2.49% |   2501 | 2.50% |  25747 | 2.57% 
Indiana Avenue        |     32 | 3.20% |    248 | 2.48% |   2567 | 2.57% |  24941 | 2.49% 
Illinois Avenue       |     26 | 2.60% |    325 | 3.25% |   3017 | 3.02% |  30155 | 3.02% 
B. & O. Railroad      |     25 | 2.50% |    268 | 2.68% |   2864 | 2.86% |  28341 | 2.83% 
Atlantic Avenue       |     24 | 2.40% |    248 | 2.48% |   2440 | 2.44% |  25133 | 2.51% 
Ventnor Avenue        |     24 | 2.40% |    282 | 2.82% |   2437 | 2.44% |  24463 | 2.45% 
Water Works           |     24 | 2.40% |    221 | 2.21% |   2665 | 2.67% |  26291 | 2.63% 
Marvin Gardens        |     25 | 2.50% |    255 | 2.55% |   2377 | 2.38% |  24309 | 2.43% 
Go To Jail            |     25 | 2.50% |    220 | 2.20% |   2502 | 2.50% |  24572 | 2.46% 
Pacific Avenue        |     25 | 2.50% |    261 | 2.61% |   2397 | 2.40% |  25156 | 2.52% 
North Carolina Avenue |     21 | 2.10% |    225 | 2.25% |   2465 | 2.47% |  24737 | 2.47% 
Community Chest       |     23 | 2.30% |    270 | 2.70% |   2555 | 2.56% |  26592 | 2.66% 
Pennsylvania Avenue   |     31 | 3.10% |    251 | 2.51% |   2598 | 2.60% |  24638 | 2.46% 
Short Line            |     27 | 2.70% |    250 | 2.50% |   2530 | 2.53% |  25176 | 2.52% 
Chance                |     19 | 1.90% |    271 | 2.71% |   2488 | 2.49% |  24656 | 2.47% 
Park Place            |     29 | 2.90% |    227 | 2.27% |   2424 | 2.42% |  24893 | 2.49% 
Luxury Tax            |     22 | 2.20% |    257 | 2.57% |   2577 | 2.58% |  24650 | 2.47% 
Boardwalk             |     23 | 2.30% |    276 | 2.76% |   2948 | 2.95% |  29189 | 2.92% 


                             Strategy B Simulation #6 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     31 | 3.10% |    363 | 3.63% |   3273 | 3.27% |  34101 | 3.41% 
Mediterranean Avenue  |     24 | 2.40% |    256 | 2.56% |   2396 | 2.40% |  23897 | 2.39% 
Community Chest       |     26 | 2.60% |    244 | 2.44% |   2343 | 2.34% |  23990 | 2.40% 
Baltic Avenue         |     24 | 2.40% |    249 | 2.49% |   2406 | 2.41% |  23900 | 2.39% 
Income Tax            |     18 | 1.80% |    261 | 2.61% |   2682 | 2.68% |  26052 | 2.61% 
Reading Railroad      |     32 | 3.20% |    330 | 3.30% |   3335 | 3.34% |  33717 | 3.37% 
Oriental Avenue       |     28 | 2.80% |    240 | 2.40% |   2678 | 2.68% |  25630 | 2.56% 
Chance                |     23 | 2.30% |    245 | 2.45% |   2594 | 2.59% |  26063 | 2.61% 
Vermont Avenue        |     31 | 3.10% |    267 | 2.67% |   2550 | 2.55% |  26433 | 2.64% 
Connecticut Avenue    |     22 | 2.20% |    264 | 2.64% |   2622 | 2.62% |  25971 | 2.60% 
Jail                  |     66 | 6.60% |    644 | 6.44% |   6045 | 6.05% |  60371 | 6.04% 
St. Charles Place     |     30 | 3.00% |    296 | 2.96% |   3085 | 3.09% |  30584 | 3.06% 
Electric Company      |     32 | 3.20% |    297 | 2.97% |   2871 | 2.87% |  28453 | 2.85% 
States Avenue         |     23 | 2.30% |    250 | 2.50% |   2526 | 2.53% |  24662 | 2.47% 
Virginia Avenue       |     26 | 2.60% |    236 | 2.36% |   2452 | 2.45% |  24583 | 2.46% 
Pennsylvania Railroad |     33 | 3.30% |    287 | 2.87% |   2787 | 2.79% |  28653 | 2.87% 
St. James Place       |     27 | 2.70% |    256 | 2.56% |   2501 | 2.50% |  25137 | 2.51% 
Community Chest       |     26 | 2.60% |    252 | 2.52% |   2588 | 2.59% |  25640 | 2.56% 
Tennessee Avenue      |     22 | 2.20% |    265 | 2.65% |   2580 | 2.58% |  25803 | 2.58% 
New York Avenue       |     20 | 2.00% |    256 | 2.56% |   2717 | 2.72% |  27478 | 2.75% 
Free Parking          |     25 | 2.50% |    274 | 2.74% |   2523 | 2.52% |  25549 | 2.55% 
Kentucky Avenue       |     30 | 3.00% |    229 | 2.29% |   2551 | 2.55% |  25551 | 2.56% 
Chance                |     32 | 3.20% |    268 | 2.68% |   2598 | 2.60% |  25784 | 2.58% 
Indiana Avenue        |     21 | 2.10% |    295 | 2.95% |   2506 | 2.51% |  25238 | 2.52% 
Illinois Avenue       |     38 | 3.80% |    287 | 2.87% |   3025 | 3.03% |  30097 | 3.01% 
B. & O. Railroad      |     19 | 1.90% |    261 | 2.61% |   2830 | 2.83% |  28207 | 2.82% 
Atlantic Avenue       |     29 | 2.90% |    250 | 2.50% |   2430 | 2.43% |  24676 | 2.47% 
Ventnor Avenue        |     21 | 2.10% |    236 | 2.36% |   2417 | 2.42% |  24785 | 2.48% 
Water Works           |     23 | 2.30% |    234 | 2.34% |   2696 | 2.70% |  26273 | 2.63% 
Marvin Gardens        |     24 | 2.40% |    245 | 2.45% |   2378 | 2.38% |  24451 | 2.45% 
Go To Jail            |     27 | 2.70% |    280 | 2.80% |   2486 | 2.49% |  24703 | 2.47% 
Pacific Avenue        |     26 | 2.60% |    252 | 2.52% |   2524 | 2.52% |  24854 | 2.49% 
North Carolina Avenue |     23 | 2.30% |    257 | 2.57% |   2485 | 2.49% |  24782 | 2.48% 
Community Chest       |     37 | 3.70% |    271 | 2.71% |   2637 | 2.64% |  26591 | 2.66% 
Pennsylvania Avenue   |     27 | 2.70% |    239 | 2.39% |   2531 | 2.53% |  24714 | 2.47% 
Short Line            |     18 | 1.80% |    241 | 2.41% |   2458 | 2.46% |  24949 | 2.49% 
Chance                |     22 | 2.20% |    233 | 2.33% |   2479 | 2.48% |  24884 | 2.49% 
Park Place            |     27 | 2.70% |    235 | 2.35% |   2513 | 2.51% |  24731 | 2.47% 
Luxury Tax            |     18 | 1.80% |    247 | 2.47% |   2549 | 2.55% |  24535 | 2.45% 
Boardwalk             |     37 | 3.70% |    286 | 2.86% |   2939 | 2.94% |  29329 | 2.93% 


                             Strategy B Simulation #7 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     41 | 4.10% |    374 | 3.74% |   3398 | 3.40% |  34007 | 3.40% 
Mediterranean Avenue  |     18 | 1.80% |    223 | 2.23% |   2381 | 2.38% |  23892 | 2.39% 
Community Chest       |     22 | 2.20% |    247 | 2.47% |   2363 | 2.36% |  23894 | 2.39% 
Baltic Avenue         |     23 | 2.30% |    229 | 2.29% |   2366 | 2.37% |  24284 | 2.43% 
Income Tax            |     29 | 2.90% |    261 | 2.61% |   2663 | 2.66% |  26170 | 2.62% 
Reading Railroad      |     32 | 3.20% |    360 | 3.60% |   3310 | 3.31% |  33500 | 3.35% 
Oriental Avenue       |     24 | 2.40% |    225 | 2.25% |   2685 | 2.69% |  25613 | 2.56% 
Chance                |     27 | 2.70% |    276 | 2.76% |   2635 | 2.64% |  26015 | 2.60% 
Vermont Avenue        |     29 | 2.90% |    272 | 2.72% |   2503 | 2.50% |  26145 | 2.61% 
Connecticut Avenue    |     29 | 2.90% |    243 | 2.43% |   2597 | 2.60% |  26026 | 2.60% 
Jail                  |     54 | 5.40% |    631 | 6.31% |   5971 | 5.97% |  60124 | 6.01% 
St. Charles Place     |     32 | 3.20% |    318 | 3.18% |   2997 | 3.00% |  30644 | 3.06% 
Electric Company      |     32 | 3.20% |    280 | 2.80% |   2925 | 2.93% |  28492 | 2.85% 
States Avenue         |     19 | 1.90% |    245 | 2.45% |   2546 | 2.55% |  24892 | 2.49% 
Virginia Avenue       |     15 | 1.50% |    230 | 2.30% |   2451 | 2.45% |  24553 | 2.46% 
Pennsylvania Railroad |     28 | 2.80% |    287 | 2.87% |   2888 | 2.89% |  28612 | 2.86% 
St. James Place       |     35 | 3.50% |    239 | 2.39% |   2491 | 2.49% |  25324 | 2.53% 
Community Chest       |     31 | 3.10% |    260 | 2.60% |   2514 | 2.51% |  25717 | 2.57% 
Tennessee Avenue      |     27 | 2.70% |    259 | 2.59% |   2617 | 2.62% |  25827 | 2.58% 
New York Avenue       |     26 | 2.60% |    263 | 2.63% |   2659 | 2.66% |  26985 | 2.70% 
Free Parking          |     21 | 2.10% |    272 | 2.72% |   2528 | 2.53% |  25781 | 2.58% 
Kentucky Avenue       |     34 | 3.40% |    220 | 2.20% |   2663 | 2.66% |  25407 | 2.54% 
Chance                |     17 | 1.70% |    255 | 2.55% |   2522 | 2.52% |  25394 | 2.54% 
Indiana Avenue        |     24 | 2.40% |    271 | 2.71% |   2578 | 2.58% |  25463 | 2.55% 
Illinois Avenue       |     32 | 3.20% |    310 | 3.10% |   3023 | 3.02% |  29917 | 2.99% 
B. & O. Railroad      |     31 | 3.10% |    291 | 2.91% |   2827 | 2.83% |  28432 | 2.84% 
Atlantic Avenue       |     25 | 2.50% |    254 | 2.54% |   2518 | 2.52% |  24817 | 2.48% 
Ventnor Avenue        |     19 | 1.90% |    230 | 2.30% |   2537 | 2.54% |  24806 | 2.48% 
Water Works           |     31 | 3.10% |    239 | 2.39% |   2621 | 2.62% |  25997 | 2.60% 
Marvin Gardens        |     21 | 2.10% |    254 | 2.54% |   2412 | 2.41% |  24479 | 2.45% 
Go To Jail            |     18 | 1.80% |    236 | 2.36% |   2423 | 2.42% |  24628 | 2.46% 
Pacific Avenue        |     30 | 3.00% |    264 | 2.64% |   2469 | 2.47% |  24875 | 2.49% 
North Carolina Avenue |     25 | 2.50% |    264 | 2.64% |   2494 | 2.49% |  24986 | 2.50% 
Community Chest       |     23 | 2.30% |    284 | 2.84% |   2678 | 2.68% |  26421 | 2.64% 
Pennsylvania Avenue   |     21 | 2.10% |    237 | 2.37% |   2457 | 2.46% |  25007 | 2.50% 
Short Line            |     26 | 2.60% |    260 | 2.60% |   2512 | 2.51% |  24967 | 2.50% 
Chance                |     29 | 2.90% |    239 | 2.39% |   2510 | 2.51% |  24767 | 2.48% 
Park Place            |     28 | 2.80% |    234 | 2.34% |   2507 | 2.51% |  24678 | 2.47% 
Luxury Tax            |     16 | 1.60% |    230 | 2.30% |   2391 | 2.39% |  24746 | 2.47% 
Boardwalk             |     31 | 3.10% |    286 | 2.86% |   2887 | 2.89% |  29048 | 2.90% 


                             Strategy B Simulation #8 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     42 | 4.20% |    336 | 3.36% |   3408 | 3.41% |  33826 | 3.38% 
Mediterranean Avenue  |     27 | 2.70% |    239 | 2.39% |   2306 | 2.31% |  23868 | 2.39% 
Community Chest       |     19 | 1.90% |    250 | 2.50% |   2340 | 2.34% |  24133 | 2.41% 
Baltic Avenue         |     29 | 2.90% |    241 | 2.41% |   2407 | 2.41% |  23998 | 2.40% 
Income Tax            |     22 | 2.20% |    253 | 2.53% |   2623 | 2.62% |  26193 | 2.62% 
Reading Railroad      |     36 | 3.60% |    352 | 3.52% |   3355 | 3.36% |  33522 | 3.35% 
Oriental Avenue       |     27 | 2.70% |    271 | 2.71% |   2595 | 2.60% |  25478 | 2.55% 
Chance                |     23 | 2.30% |    270 | 2.70% |   2574 | 2.57% |  26143 | 2.61% 
Vermont Avenue        |     26 | 2.60% |    259 | 2.59% |   2587 | 2.59% |  26030 | 2.60% 
Connecticut Avenue    |     26 | 2.60% |    259 | 2.59% |   2587 | 2.59% |  26065 | 2.61% 
Jail                  |     64 | 6.40% |    618 | 6.18% |   6067 | 6.07% |  60508 | 6.05% 
St. Charles Place     |     34 | 3.40% |    282 | 2.82% |   3159 | 3.16% |  30670 | 3.07% 
Electric Company      |     29 | 2.90% |    282 | 2.82% |   2729 | 2.73% |  28337 | 2.83% 
States Avenue         |     26 | 2.60% |    264 | 2.64% |   2507 | 2.51% |  24857 | 2.49% 
Virginia Avenue       |     21 | 2.10% |    230 | 2.30% |   2480 | 2.48% |  24353 | 2.44% 
Pennsylvania Railroad |     33 | 3.30% |    317 | 3.17% |   2838 | 2.84% |  28637 | 2.86% 
St. James Place       |     23 | 2.30% |    257 | 2.57% |   2541 | 2.54% |  25446 | 2.54% 
Community Chest       |     26 | 2.60% |    255 | 2.55% |   2554 | 2.55% |  25410 | 2.54% 
Tennessee Avenue      |     25 | 2.50% |    271 | 2.71% |   2524 | 2.52% |  25560 | 2.56% 
New York Avenue       |     22 | 2.20% |    283 | 2.83% |   2784 | 2.78% |  27465 | 2.75% 
Free Parking          |     26 | 2.60% |    234 | 2.34% |   2540 | 2.54% |  25801 | 2.58% 
Kentucky Avenue       |     23 | 2.30% |    230 | 2.30% |   2596 | 2.60% |  25465 | 2.55% 
Chance                |     28 | 2.80% |    271 | 2.71% |   2581 | 2.58% |  25385 | 2.54% 
Indiana Avenue        |     36 | 3.60% |    259 | 2.59% |   2568 | 2.57% |  25314 | 2.53% 
Illinois Avenue       |     32 | 3.20% |    302 | 3.02% |   3001 | 3.00% |  30198 | 3.02% 
B. & O. Railroad      |     26 | 2.60% |    301 | 3.01% |   2773 | 2.77% |  28262 | 2.83% 
Atlantic Avenue       |     24 | 2.40% |    237 | 2.37% |   2493 | 2.49% |  25012 | 2.50% 
Ventnor Avenue        |     16 | 1.60% |    230 | 2.30% |   2450 | 2.45% |  24912 | 2.49% 
Water Works           |     22 | 2.20% |    260 | 2.60% |   2735 | 2.74% |  26223 | 2.62% 
Marvin Gardens        |     27 | 2.70% |    251 | 2.51% |   2404 | 2.40% |  24303 | 2.43% 
Go To Jail            |     32 | 3.20% |    262 | 2.62% |   2487 | 2.49% |  24712 | 2.47% 
Pacific Avenue        |     21 | 2.10% |    257 | 2.57% |   2421 | 2.42% |  24721 | 2.47% 
North Carolina Avenue |     36 | 3.60% |    239 | 2.39% |   2447 | 2.45% |  24948 | 2.49% 
Community Chest       |     22 | 2.20% |    259 | 2.59% |   2742 | 2.74% |  26578 | 2.66% 
Pennsylvania Avenue   |     17 | 1.70% |    244 | 2.44% |   2473 | 2.47% |  25198 | 2.52% 
Short Line            |     19 | 1.90% |    259 | 2.59% |   2547 | 2.55% |  24645 | 2.46% 
Chance                |     26 | 2.60% |    239 | 2.39% |   2426 | 2.43% |  25136 | 2.51% 
Park Place            |     19 | 1.90% |    237 | 2.37% |   2465 | 2.47% |  24407 | 2.44% 
Luxury Tax            |     28 | 2.80% |    257 | 2.57% |   2432 | 2.43% |  24552 | 2.46% 
Boardwalk             |     32 | 3.20% |    264 | 2.64% |   2991 | 2.99% |  29477 | 2.95% 


                             Strategy B Simulation #9 of 10
-----------------------------------------------------------------------------------------
                      |      n = 1,000 |     n = 10,000 |    n = 100,000 |  n = 1,000,000
                      |  Count |     % |  Count |     % |  Count |     % |  Count |     %
Go                    |     35 | 3.50% |    324 | 3.24% |   3341 | 3.34% |  34111 | 3.41% 
Mediterranean Avenue  |     23 | 2.30% |    230 | 2.30% |   2398 | 2.40% |  23977 | 2.40% 
Community Chest       |     22 | 2.20% |    242 | 2.42% |   2381 | 2.38% |  23906 | 2.39% 
Baltic Avenue         |     29 | 2.90% |    227 | 2.27% |   2453 | 2.45% |  23996 | 2.40% 
Income Tax            |     26 | 2.60% |    287 | 2.87% |   2634 | 2.63% |  26244 | 2.62% 
Reading Railroad      |     34 | 3.40% |    351 | 3.51% |   3278 | 3.28% |  33559 | 3.36% 
Oriental Avenue       |     30 | 3.00% |    249 | 2.49% |   2604 | 2.60% |  25558 | 2.56% 
Chance                |     28 | 2.80% |    266 | 2.66% |   2680 | 2.68% |  26116 | 2.61% 
Vermont Avenue        |     24 | 2.40% |    276 | 2.76% |   2613 | 2.61% |  25914 | 2.59% 
Connecticut Avenue    |     22 | 2.20% |    274 | 2.74% |   2500 | 2.50% |  26082 | 2.61% 
Jail                  |     51 | 5.10% |    590 | 5.90% |   6079 | 6.08% |  60693 | 6.07% 
St. Charles Place     |     32 | 3.20% |    324 | 3.24% |   3015 | 3.02% |  30373 | 3.04% 
Electric Company      |     28 | 2.80% |    269 | 2.69% |   2882 | 2.88% |  28694 | 2.87% 
States Avenue         |     24 | 2.40% |    249 | 2.49% |   2501 | 2.50% |  24697 | 2.47% 
Virginia Avenue       |     21 | 2.10% |    238 | 2.38% |   2432 | 2.43% |  24919 | 2.49% 
Pennsylvania Railroad |     34 | 3.40% |    308 | 3.08% |   2844 | 2.84% |  28234 | 2.82% 
St. James Place       |     23 | 2.30% |    251 | 2.51% |   2485 | 2.49% |  25237 | 2.52% 
Community Chest       |     23 | 2.30% |    242 | 2.42% |   2598 | 2.60% |  25550 | 2.56% 
Tennessee Avenue      |     28 | 2.80% |    279 | 2.79% |   2620 | 2.62% |  25825 | 2.58% 
New York Avenue       |     29 | 2.90% |    253 | 2.53% |   2727 | 2.73% |  27362 | 2.74% 
Free Parking          |     28 | 2.80% |    260 | 2.60% |   2517 | 2.52% |  25727 | 2.57% 
Kentucky Avenue       |     26 | 2.60% |    241 | 2.41% |   2593 | 2.59% |  25532 | 2.55% 
Chance                |     29 | 2.90% |    259 | 2.59% |   2453 | 2.45% |  25431 | 2.54% 
Indiana Avenue        |     26 | 2.60% |    259 | 2.59% |   2521 | 2.52% |  25274 | 2.53% 
Illinois Avenue       |     37 | 3.70% |    312 | 3.12% |   3063 | 3.06% |  30003 | 3.00% 
B. & O. Railroad      |     26 | 2.60% |    276 | 2.76% |   2895 | 2.90% |  28213 | 2.82% 
Atlantic Avenue       |     24 | 2.40% |    270 | 2.70% |   2473 | 2.47% |  25046 | 2.50% 
Ventnor Avenue        |     23 | 2.30% |    248 | 2.48% |   2438 | 2.44% |  24746 | 2.47% 
Water Works           |     27 | 2.70% |    222 | 2.22% |   2670 | 2.67% |  26098 | 2.61% 
Marvin Gardens        |     26 | 2.60% |    242 | 2.42% |   2422 | 2.42% |  24214 | 2.42% 
Go To Jail            |     18 | 1.80% |    264 | 2.64% |   2473 | 2.47% |  24746 | 2.47% 
Pacific Avenue        |     27 | 2.70% |    249 | 2.49% |   2559 | 2.56% |  24729 | 2.47% 
North Carolina Avenue |     20 | 2.00% |    247 | 2.47% |   2445 | 2.45% |  24865 | 2.49% 
Community Chest       |     32 | 3.20% |    260 | 2.60% |   2623 | 2.62% |  26686 | 2.67% 
Pennsylvania Avenue   |     30 | 3.00% |    255 | 2.55% |   2587 | 2.59% |  24935 | 2.49% 
Short Line            |     23 | 2.30% |    233 | 2.33% |   2478 | 2.48% |  24978 | 2.50% 
Chance                |     23 | 2.30% |    244 | 2.44% |   2462 | 2.46% |  24870 | 2.49% 
Park Place            |     28 | 2.80% |    251 | 2.51% |   2440 | 2.44% |  24732 | 2.47% 
Luxury Tax            |     14 | 1.40% |    257 | 2.57% |   2427 | 2.43% |  24436 | 2.44% 
Boardwalk             |     28 | 2.80% |    296 | 2.96% |   2923 | 2.92% |  29309 | 2.93% 


                             Strategy B Simulation #10 of 10
